Swansea,0,Swansea,246563
Blaenau Gwent,1,Blaenau Gwent,70020
Vale of Glamorgan,2,Vale of Glamorgan,135295
Caerphilly,3,Caerphilly,181731
Newport,4,Newport,156447
Neath Port Talbot,5,Neath Port Talbot,144386
Conwy,6,Conwy,118184
Merthyr Tydfil,7,Merthyr Tydfil,60424
Bridgend,8,Bridgend,147539
Powys,9,Powys,133030
Rhondda Cynon Taf,10,Rhondda Cynon Taf,241873
Denbighshire,11,Denbighshire,96664
Carmarthenshire,12,Carmarthenshire,190073
Flintshire,13,Flintshire,156847
Torfaen,14,Torfaen,94832
Wrexham,15,Wrexham,136055
Isle of Anglesey,16,Isle of Anglesey,70440
Gwynedd,17,Gwynedd,125171
Cardiff,18,Cardiff,369202
Ceredigion,19,Ceredigion,72895
Monmouthshire,20,Monmouthshire,95164
Pembrokeshire,21,Pembrokeshire,126751
